"id","risk_level","title","message","tags","target_categories","source","source_url","semantic_context"
"1","baixo","Prevenção Semanal na Residência","Reserve dez minutos toda semana para inspecionar seu quintal. Tampe reservatórios de água, limpe os pratos de vasos e elimine pequenos recipientes que possam acumular água da chuva. A prevenção doméstica é a barreira mais eficaz contra a proliferação do Aedes aegypti.","água parada; mosquito; criadouro; inspeção domiciliar","Mosquito","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Nível de risco baixo em área residencial consolidada de classe média. Presença pontual de vasos de plantas e pratos com água sem larvas visíveis. Abastecimento de água regular e coleta de lixo eficiente. Período seco com baixas precipitações. Moradores colaborativos, mas que necessitam de lembretes periódicos para manutenção da rotina de inspeção sanitária domiciliar."
"2","baixo","Vistoria de Calhas no Condomínio","Verifique o escoamento das calhas do condomínio antes do período chuvoso. Folhas acumuladas podem obstruir a passagem da água e criar pontos ocultos de reprodução do vetor. Solicite à equipe de manutenção a limpeza periódica e a aplicação de telas protetoras nos ralos externos.","calhas; condomínio; manutenção; escoamento","Mosquito; Vegetação alta","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Cenário de risco baixo em condomínio residencial horizontal. Abundante vegetação ornamental de porte médio próximo aos telhados. Calhas com pequenos depósitos de folhas secas sem acúmulo prolongado de água. Clima ameno com chuvas esparsas. A infraestrutura predial é boa, exigindo apenas manejo preventivo para evitar a formação de criadouros no dossel da vegetação."
"3","baixo","Cuidados em Escolas Infantis","Promova atividades educativas com os alunos sobre o ciclo de vida do mosquito. Inspecione semanalmente calhas, caixas d'água e brinquedos do parque infantil que possam reter água. Envolver as crianças na vigilância ambiental fortalece os hábitos de prevenção na comunidade escolar.","escola; educação; criadouro; crianças","Mosquito","Fiocruz","https://www.fiocruz.br","Ambiente escolar de risco baixo localizado em bairro urbanizado. Presença de brinquedos plásticos no pátio descoberto e pequenos pratos de plantas. Água tratada e saneamento completo. Temperatura moderada. A justificativa epidemiológica baseia-se no engajamento pedagógico precoce para impedir a instalação de focos em áreas de alta densidade de crianças."
"4","baixo","Organização de Pneus na Borracharia","Mantenha pneus velhos ou armazenados sob cobertura e totalmente secos. Caso fiquem ao ar livre, fure-os ou preencha-os com areia. Borracharias são pontos estratégicos de vigilância e exigem atenção contínua para evitar a postura de ovos do Aedes aegypti.","pneus; borracharia; reciclagem; descarte","Mosquito; Entulho","Vigilância em Saúde","https://www.gov.br/saude/pt-br","Comércio de borracharia em área urbana comercial consolidada. Risco baixo devido ao armazenamento de pneus sob galpão coberto. Pequeno acúmulo pontual de peças expostas temporariamente na calçada. Clima seco. A atividade do estabelecimento apresenta potencial para criação de vetores caso ocorra infiltração de água, justificando a monitorização constante."
"5","baixo","Descarte Adequado de Lixo em Feiras","Feirantes e comerciantes devem descartar restos de embalagens e resíduos orgânicos nos contêineres indicados ao final do expediente. Evite deixar plásticos e copos descartáveis nas calçadas, pois podem acumular água limpa e servir de foco para o Aedes.","feira livre; resíduos; limpeza urbana; plásticos","Lixo; Mosquito","Secretaria Estadual de Saúde","https://www.saude.sp.gov.br","Espaço público de feira livre em centro urbano de médio porte. Risco baixo. Varrição municipal eficiente realizada imediatamente após o encerramento do evento. Pequena quantidade de embalagens plásticas caídas no solo sem água acumulada. Tempo ensolarado. A vigilância atua no reforço comportamental dos feirantes para manutenção do ambiente limpo."
"6","baixo","Proteção de Reservatórios em Áreas Rurais","Em propriedades rurais, cubra completamente tambores, cisternas e tanques de captação de água com tampas herméticas ou telas finas. A vedação correta impede que a fêmea do mosquito deposite ovos, garantindo a segurança hídrica da família sem riscos à saúde pública.","zona rural; cisterna; reservatório; vedação","Mosquito","Organização Mundial da Saúde","https://www.who.int","Zona rural de risco baixo com residências dispersas. Uso de cisternas para captação de água da chuva bem conservadas e com telas em bom estado. Presença de vegetação nativa ao redor. Período estival com chuvas ocasionais. A justificativa fundamenta-se na manutenção da barreira física para impedir o estabelecimento do vetor em áreas com menor cobertura sanitária."
"7","baixo","Manutenção de Pratos de Plantas em Praças","Em praças públicas, priorize o uso de areia fina até a borda nos pratos de vasos ornamentais. Plantas que acumulam água na base, como bromélias, devem receber jatos de água limpa semanalmente ou aplicação de larvicida biológico supervisionado pela vigilância municipal.","praça; bromélias; vasos; paisagismo","Mosquito; Vegetação alta","Secretaria Municipal de Saúde","https://www.gov.br/saude/pt-br","Praça pública central bem mantida, risco baixo. Abundante vegetação ornamental incluindo bromélias de pequeno porte. Presença de equipe de jardinagem municipal com rotina de manutenção quinzenal. Clima temperado. Necessidade de atenção às plantas fitotelmata para evitar o surgimento de microbiótopos favoráveis à oviposição em espaços de alto fluxo de pessoas."
"8","baixo","Inspeção em Unidades Básicas de Saúde","Unidades de saúde devem manter suas instalações livres de criadouros. Verifique semanalmente calhas, reservatórios de ar-condicionado e recipientes no pátio interno. O ambiente de atendimento médico deve ser exemplo de vigilância sanitária e proteção contra arboviroses.","posto de saúde; vigilância; ar-condicionado; prevenção","Mosquito","Ministério da Saúde","https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/d/dengue","Entorno e pátio interno de Unidade Básica de Saúde. Risco baixo. Estrutura física bem conservada, presença de bandeja de condensado em aparelhos de ar-condicionado sem acúmulo de água estagnada. Clima seco. Ações preventivas no local são cruciais para evitar a exposição de pacientes vulneráveis e manter o padrão de referência em vigilância."
"9","baixo","Monitoramento de Lotes sem Edificação","Proprietários de terrenos baldios limpos devem realizar vistorias mensais para impedir o descarte irregular de lixo por terceiros. O cercamento e a manutenção do solo capinado reduzem drasticamente as chances de surgimento de microfocos de mosquitos da dengue.","terreno baldio; limpeza; fiscalização; loteamento","Vegetação alta; Entulho","Vigilância em Saúde","https://www.gov.br/saude/pt-br","Lote vago em bairro residencial com infraestrutura completa. Risco baixo. Vegetação rasteira mantida curta e ausência de resíduos sólidos urbanos depositados. Solo com boa drenagem natural. Tempo seco. A vigilância preventiva visa desencorajar o descarte clandestino de inservíveis que possam servir de receptáculo de água."
"10","baixo","Vedação de Caixas d'Água em Prédios","Garanta que a tampa da caixa d'água do edifício esteja perfeitamente vedada, sem frestas ou rachaduras. Realize a limpeza semestral do reservatório com equipe especializada. Caixas d'água bem fechadas eliminam um dos maiores potenciais criadouros urbanos de mosquitos.","caixa d'água; prédio; vedação; manutenção","Mosquito","Secretaria Estadual de Saúde","https://www.saude.sp.gov.br","Cobertura de condomínio residencial vertical. Risco baixo. Caixas d'água de grande porte com tampas de fibra de vidro íntegras e sem frestas. Ausência de focos no reservatório superior. Clima quente e seco. O controle sistemático de grandes reservatórios prediais previne surtos em áreas de alta densidade populacional."
